epsd_form,etcsl_form,etcsri_form,comp1_wr
zag[side] us[follow],,,zag
zi[life] gi[turn],,,zi
zi[life] ir[plunder],zi[life] ir[cvve],,zi
zi[life] paŋ[breathe],,,zi
zi[life] tum[to bring],zi[life] de[bring],,zi
zikzak[cvne] za[cvve],,,
zu[tooth] bir[shred],zu[tooth] bir[cvve],,zu₂
zu[tooth] du[hold],,,zu₂
zu[tooth] gaz[kill],,,zu₂
zu[tooth] gu[eat],,,zu₂
zu[tooth] gub[stand],,,zu₂
zu[tooth] kešed[bind],,,zu₂
zu[tooth] kud[cut],,,zu₂
zu[tooth] rah[beat],,,zu₂
zu[tooth] sud[cvve],,,zu₂
zu[tooth] ur[cvve],,,zu₂
zurzar[cvne] za[cvve],,,
